repo_path;path;original_path
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit2/Attributes/AttributeTests_Nullable.cs;src/Compilers/CSharp/Test/Emit3/Attributes/AttributeTests_Nullable.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit2/Attributes/AttributeTests_RefReadOnly.cs;src/Compilers/CSharp/Test/Emit3/Attributes/AttributeTests_RefReadOnly.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit2/Attributes/AttributeTests_WellKnownAttributes.cs;src/Compilers/CSharp/Test/Emit3/Attributes/AttributeTests_WellKnownAttributes.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Syntax/Parsing/AwaitParsingTests.cs;src/Compilers/CSharp/Test/Syntax/Parsing/AwaitParsingTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Symbol/Symbols/Source/BaseClassTests.cs;src/Compilers/CSharp/Test/Symbol/Symbols/Source/BaseClassTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Conversions.cs;src/Compilers/CSharp/Portable/Binder/Binder_Conversions.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Expressions.cs;src/Compilers/CSharp/Portable/Binder/Binder_Expressions.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Invocation.cs;src/Compilers/CSharp/Portable/Binder/Binder_Invocation.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Operators.cs;src/Compilers/CSharp/Portable/Binder/Binder_Operators.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Statements.cs;src/Compilers/CSharp/Portable/Binder/Binder_Statements.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Binder/Binder_Symbols.cs;src/Compilers/CSharp/Portable/Binder/Binder_Symbols.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Semantic/Semantics/BindingAsyncTests.cs;src/Compilers/CSharp/Test/Semantic/Semantics/BindingAsyncTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Semantic/Semantics/BindingAwaitTests.cs;src/Compilers/CSharp/Test/Semantic/Semantics/BindingAwaitTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Semantic/Semantics/BindingTests.cs;src/Compilers/CSharp/Test/Semantic/Semantics/BindingTests.cs
C#/dotnet~roslyn;Src/Tools/Source/CompilerGeneratorTools/Source/BoundTreeGenerator/BoundNodeClassWriter.cs;src/Tools/Source/CompilerGeneratorTools/Source/BoundTreeGenerator/BoundNodeClassWriter.cs
