path,owner,project,language,code
./src/_00/output/Javascript/nodejs~node/test/parallel/test-url-parse-format.js,nodejs,node,JavaScript,956
./src/_00/output/Javascript/nodejs~node/lib/_http_outgoing.js,nodejs,node,JavaScript,955
./src/_00/output/Javascript/nodejs~node/lib/internal/crypto/webcrypto.js,nodejs,node,JavaScript,951
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/strict-mode.js,nodejs,node,JavaScript,947
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-precision.cc,nodejs,node,C++,100014
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-shortest.cc,nodejs,node,C++,100014
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-fixed.cc,nodejs,node,C++,100012
./src/_00/output/Javascript/nodejs~node/deps/simdjson/simdjson.cpp,nodejs,node,C++,31721
./src/_00/output/Javascript/nodejs~node/deps/simdutf/simdutf.cpp,nodejs,node,C++,28900
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-api.cc,nodejs,node,C++,24945
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/code-stub-assembler.cc,nodejs,node,C++,14572
./src/_00/output/Javascript/nodejs~node/deps/ada/ada.cpp,nodejs,node,C++,13917
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-assembler-arm64.cc,nodejs,node,C++,12807
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/js-temporal-objects.cc,nodejs,node,C++,12230
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/parser/parsing-unittest.cc,nodejs,node,C++,10324
./src/_00/output/Javascript/nodejs~node/deps/v8/src/api/api.cc,nodejs,node,C++,10050
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/s390/simulator-s390.cc,nodejs,node,C++,9796
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-assembler-mips64.cc,nodejs,node,C++,9363
./src/_00/output/Javascript/nodejs~node/deps/v8/src/maglev/maglev-graph-builder.cc,nodejs,node,C++,8643
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/wasm-compiler.cc,nodejs,node,C++,7702
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/riscv/simulator-riscv.cc,nodejs,node,C++,7517
./src/_00/output/Javascript/nodejs~node/deps/v8/src/wasm/baseline/liftoff-compiler.cc,nodejs,node,C++,7131
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/x64/code-generator-x64.cc,nodejs,node,C++,7066
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/mips64/simulator-mips64.cc,nodejs,node,C++,7010
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/js-call-reducer.cc,nodejs,node,C++,6739
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/effect-control-linearizer.cc,nodejs,node,C++,6722
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/compiler/test-run-machops.cc,nodejs,node,C++,6714
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/arm64/instruction-selector-arm64.cc,nodejs,node,C++,6655
./src/_00/output/Javascript/nodejs~node/deps/v8/src/wasm/turboshaft-graph-interface.cc,nodejs,node,C++,6263
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/x64/instruction-selector-x64.cc,nodejs,node,C++,6166
./src/_00/output/Javascript/nodejs~node/deps/v8/src/interpreter/bytecode-generator.cc,nodejs,node,C++,6073
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/heap/test-heap.cc,nodejs,node,C++,5997
./src/_00/output/Javascript/nodejs~node/deps/v8/src/heap/heap.cc,nodejs,node,C++,5958
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/riscv/macro-assembler-riscv.cc,nodejs,node,C++,5902
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/arm64/simulator-arm64.cc,nodejs,node,C++,5717
./src/_00/output/Javascript/nodejs~node/deps/v8/src/maglev/maglev-ir.cc,nodejs,node,C++,5673
./src/_00/output/Javascript/nodejs~node/deps/v8/src/init/bootstrapper.cc,nodejs,node,C++,5586
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/arm/simulator-arm.cc,nodejs,node,C++,5580
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/mips64/macro-assembler-mips64.cc,nodejs,node,C++,5446
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/compiler/arm64/turboshaft-instruction-selector-arm64-unittest.cc,nodejs,node,C++,5408
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/compiler/arm64/instruction-selector-arm64-unittest.cc,nodejs,node,C++,5350
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/s390/macro-assembler-s390.cc,nodejs,node,C++,5289
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/ppc/simulator-ppc.cc,nodejs,node,C++,5287
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-serialize.cc,nodejs,node,C++,5277
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/objects.cc,nodejs,node,C++,5245
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/isolate.cc,nodejs,node,C++,5116
./src/_00/output/Javascript/nodejs~node/deps/v8/src/d8/d8.cc,nodejs,node,C++,5111
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/instruction-selector.cc,nodejs,node,C++,5097
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/loong64/simulator-loong64.cc,nodejs,node,C++,5083
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-api-interceptors.cc,nodejs,node,C++,4974
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/ppc/macro-assembler-ppc.cc,nodejs,node,C++,4952
./src/_00/output/Javascript/nodejs~node/deps/v8/src/torque/implementation-visitor.cc,nodejs,node,C++,4784
./src/_00/output/Javascript/nodejs~node/deps/icu-small/source/i18n/decNumber.cpp,nodejs,node,C++,4783
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/simplified-lowering.cc,nodejs,node,C++,4723
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/riscv/code-generator-riscv.cc,nodejs,node,C++,4713
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/js-objects.cc,nodejs,node,C++,4691
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-debug.cc,nodejs,node,C++,4642
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/elements.cc,nodejs,node,C++,4623
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/wasm/function-body-decoder-unittest.cc,nodejs,node,C++,4526
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/mips64/code-generator-mips64.cc,nodejs,node,C++,4417
./src/_00/output/Javascript/nodejs~node/deps/v8/src/heap/mark-compact.cc,nodejs,node,C++,4389
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/assembler/disasm-arm64-unittest.cc,nodejs,node,C++,4361
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/wasm/test-run-wasm-simd.cc,nodejs,node,C++,4330
