url,owner,Project,main language,stars
https://github.com/axios/axios,,,Javascript,104k
https://github.com/facebook/create-react-app,,,Javascript,102k
https://github.com/mrdoob/three.js,,,Javascript,99.4k
https://github.com/sveltejs/svelte,,,Javascript,76.8k
https://github.com/mermaid-js/mermaid,,,Javascript,67.6k
https://github.com/hakimel/reveal.js,,,Javascript,67k
https://github.com/anuraghazra/github-readme-stats,,,Javascript,65.4k
https://github.com/webpack/webpack,,,Javascript,64.2k
https://github.com/chartjs/Chart.js,,,Javascript,63.6k
https://github.com/resume/resume.github.com,,,Javascript,61.5k
https://github.com/atom/atom,,,Javascript,60k
https://github.com/lodash/lodash,,,Javascript,59k
https://github.com/jquery/jquery,,,Javascript,58.9k
https://github.com/angular/angular.js,,,Javascript,58.9k
https://github.com/gatsbyjs/gatsby,,,Javascript,55.1k
https://github.com/Semantic-Org/Semantic-UI,,,Javascript,51k
https://github.com/louislam/uptime-kuma,,,Javascript,50.5k
https://github.com/juliangarnier/anime,,,Javascript,48.8k
https://github.com/prettier/prettier,,,Javascript,48.4k
https://github.com/moment/moment,,,Javascript,47.8k
https://github.com/jgraph/drawio-desktop,,,Javascript,47.1k
https://github.com/iamadamdev/bypass-paywalls-chrome,,,Javascript,47k
https://github.com/mozilla/pdf.js,,,Javascript,46.5k
https://github.com/algorithm-visualizer/algorithm-visualizer,,,Javascript,46.3k
https://github.com/cypress-io/cypress,,,Javascript,46.2k
https://github.com/JetBrains/kotlin,,,Kotlin,47.7k
https://github.com/square/okhttp,,,Kotlin,45.3k
https://github.com/bannedbook/fanqiang,,,Kotlin,37.1k
https://github.com/shadowsocks/shadowsocks-android,,,Kotlin,34.7k
https://github.com/2dust/v2rayNG,,,Kotlin,31k
https://github.com/alibaba/p3c,,,Kotlin,30.1k
https://github.com/square/leakcanary,,,Kotlin,29.2k
https://github.com/gedoor/legado,,,Kotlin,24.4k
https://github.com/CymChad/BaseRecyclerViewAdapterHelper,,,Kotlin,24.1k
https://github.com/google/iosched,,,Kotlin,21.8k
https://github.com/afollestad/material-dialogs,,,Kotlin,19.7k
https://github.com/square/picasso,,,Kotlin,18.7k
https://github.com/google/flexbox-layout,,,Kotlin,18.2k
https://github.com/lottie-react-native/lottie-react-native,,,Kotlin,16.5k
https://github.com/gkd-kit/gkd,,,Kotlin,16.3k
https://github.com/Kotlin/anko,,,Kotlin,15.9k
https://github.com/android/nowinandroid,,,Kotlin,15.5k
https://github.com/pppscn/SmsForwarder,,,Kotlin,15.4k
https://github.com/JetBrains/compose-multiplatform,,,Kotlin,14.9k
https://github.com/mamoe/mirai,,,Kotlin,14k
https://github.com/Kotlin/kotlinx.coroutines,,,Kotlin,12.8k
https://github.com/ktorio/ktor,,,Kotlin,12.3k
https://github.com/YiiGuxing/TranslationPlugin,,,Kotlin,10.9k
https://github.com/coil-kt/coil,,,Kotlin,10.3
https://github.com/JakeWharton/timber,,,Kotlin,10.3k
https://github.com/Shabinder/SpotiFlyer,,,Kotlin,10k
https://github.com/square/moshi,,,Kotlin,9.5k
https://github.com/thunderbird/thunderbird-android,,,Kotlin,9.5k
https://github.com/MatsuriDayo/NekoBoxForAndroid,,,Kotlin,9k
https://github.com/square/okio,,,Kotlin,8.7k
https://github.com/Kong/kong,,,Lua,37.7k
https://github.com/nagadomi/waifu2x,,,Lua,27.2k
https://github.com/NvChad/NvChad,,,Lua,23.2k
https://github.com/jcjohnson/neural-style,,,Lua,18.3k
https://github.com/koreader/koreader,,,Lua,15.4k
https://github.com/cmusatyalab/openface,,,Lua,15k
https://github.com/apache/apisix,,,Lua,13.8k
https://github.com/junyanz/CycleGAN,,,Lua,12.2k
https://github.com/karpathy/char-rnn,,,Lua,11.5k
https://github.com/phillipi/pix2pix,,,Lua,9.9k
https://github.com/xmake-io/xmake,,,Lua,9.3k
https://github.com/iDvel/rime-ice,,,Lua,7.5k
https://github.com/rxi/lite,,,Lua,7.3k
https://github.com/docker/dockercraft,,,Lua,7.1k
https://github.com/xiaorouji/openwrt-passwall,,,Lua,6.5k
https://github.com/awesomeWM/awesome,,,Lua,6.1k
https://github.com/ntop/ntopng,,,Lua,6k
https://github.com/alexazhou/VeryNginx,,,Lua,5.9k
https://github.com/lsyncd/lsyncd,,,Lua,5.6k
https://github.com/liuzhuang13/DenseNet,,,Lua,4.7k
https://github.com/lite-xl/lite-xl,,,Lua,4.4k
https://github.com/jcjohnson/fast-neural-style,,,Lua,4.3k
https://github.com/CorsixTH/CorsixTH,,,Lua,3.9k
https://github.com/loveshell/ngx_lua_waf,,,Lua,3.9k
https://github.com/luvit/luvit,,,Lua,3.8k
https://github.com/facebookresearch/fairseq-lua,,,Lua,3.7k
https://github.com/ejoy/ant,,,Lua,3.6k
https://github.com/PathOfBuildingCommunity/PathOfBuilding,,,Lua,3.6k
https://github.com/scipag/vulscan,,,Lua,3.3k
https://github.com/tarantool/tarantool,,,Lua,3.3k
https://github.com/AFNetworking/AFNetworking,,,Objective-C,33.3k
https://github.com/SDWebImage/SDWebImage,,,Objective-C,24.9k
https://github.com/MustangYM/WeChatExtension-ForMac,,,Objective-C,22.1k
https://github.com/BradLarson/GPUImage,,,Objective-C,20.2k
https://github.com/SnapKit/Masonry,,,Objective-C,18k
https://github.com/opa334/TrollStore,,,Objective-C,16.4k
https://github.com/realm/realm-swift,,,Objective-C,16.2k
https://github.com/jdg/MBProgressHUD,,,Objective-C,16k
https://github.com/react-native-maps/react-native-maps,,,Objective-C,14.8k
https://github.com/gnachman/iTerm2,,,Objective-C,14.6k
https://github.com/marcuswestin/WebViewJavascriptBridge,,,Objective-C,14.3k
https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,,,Objective-C,14k
https://github.com/FLEXTool/FLEX,,,Objective-C,13.9k
https://github.com/ccgus/fmdb,,,Objective-C,13.8k
https://github.com/CoderMJLee/MJRefresh,,,Objective-C,13.8k
https://github.com/eczarny/spectacle,,,Objective-C,13.6k
https://github.com/CocoaLumberjack/CocoaLumberjack,,,Objective-C,13.1k
https://github.com/Instagram/IGListKit,,,Objective-C,12.8k
https://github.com/vicc/chameleon,,,Objective-C,12.5k
https://github.com/robbiehanson/CocoaAsyncSocket,,,Objective-C,12.4k
https://github.com/SVProgressHUD/SVProgressHUD,,,Objective-C,12.4k
https://github.com/dzenbot/DZNEmptyDataSet,,,Objective-C,12.1k
https://github.com/nicklockwood/iCarousel,,,Objective-C,12k
https://github.com/keycastr/keycastr,,,Objective-C,12k
https://github.com/Hammerspoon/hammerspoon,,,Objective-C,11.5k
https://github.com/git-up/GitUp,,,Objective-C,11.4k
https://github.com/bang590/JSPatch,,,Objective-C,11.4k
https://github.com/Mantle/Mantle,,,Objective-C,11.3k
https://github.com/jessesquires/JSQMessagesViewController,,,Objective-C,11.2k
https://github.com/darlinghq/darling,,,Objective-C,11.1k
https://github.com/AlDanial/cloc,,,Perl,18.6k
https://github.com/so-fancy/diff-so-fancy,,,Perl,17.1k
https://github.com/brendangregg/FlameGraph,,,Perl,16.5k
https://github.com/major/MySQLTuner-perl,,,Perl,8.7k
https://github.com/sitaramc/gitolite,,,Perl,8.3k
https://github.com/sullo/nikto,,,Perl,7.9k
https://github.com/jlord/git-it-electron,,,Perl,4.6k
https://github.com/Jack000/Expose,,,Perl,4.4k
https://github.com/sarabander/sicp-pdf,,,Perl,4.3k
https://github.com/x0rz/EQGRP,,,Perl,4.1k
https://github.com/darold/pgbadger,,,Perl,3.4k
https://github.com/imapsync/imapsync,,,Perl,3.2k
https://github.com/rsnapshot/rsnapshot,,,Perl,3;1k
https://github.com/thoughtbot/rcm,,,Perl,3.1k
https://github.com/jimsalterjrs/sanoid,,,Perl,2.9k
https://github.com/exiftool/exiftool,,,Perl,2.9k
https://github.com/sqitchers/sqitch,,,Perl,2.7k
https://github.com/mojolicious/mojo,,,Perl,2.7k
https://github.com/jfcoz/postgresqltuner,,,Perl,2.6k
https://github.com/GuidoBartoli/sherloq,,,Perl,2.5k
https://github.com/adrienverge/openfortivpn,,,Perl,2.5k
https://github.com/SpiderLabs/owasp-modsecurity-crs,,,Perl,2.4k
https://github.com/holzschu/a-shell,,,Perl,2.4k
https://github.com/CNSRE/ABTestingGateway,,,Perl,2.3k
https://github.com/Moham3dRiahi/Th3inspector,,,Perl,2.2k
https://github.com/ddclient/ddclient,,,Perl,2.1k
https://github.com/get-iplayer/get_iplayer,,,Perl,2.1k
https://github.com/Difegue/LANraragi,,,Perl,2k
https://github.com/tobie/ua-parser,,,Perl,2k
