Language,Owner,Project,#Larges
Objective-C,realm,realm-swift,42
Objective-C,jdg,MBProgressHUD,0
Objective-C,react-native-maps,react-native-maps,2
Objective-C,gnachman,iTerm2,66
Objective-C,marcuswestin,WebViewJavascriptBridge,0
Objective-C,TKkk-iOSer,WeChatPlugin-MacOS,0
Objective-C,FLEXTool,FLEX,2
Objective-C,ccgus,fmdb,2
Objective-C,CoderMJLee,MJRefresh,0
Objective-C,eczarny,spectacle,0
Objective-C,CocoaLumberjack,CocoaLumberjack,3
Objective-C,Instagram,IGListKit,6
Objective-C,vicc,chameleon,0
Objective-C,robbiehanson,CocoaAsyncSocket,2
Objective-C,SVProgressHUD,SVProgressHUD,1
Objective-C,dzenbot,DZNEmptyDataSet,0
Objective-C,nicklockwood,iCarousel,1
Objective-C,keycastr,keycastr,0
Objective-C,Hammerspoon,hammerspoon,12
Objective-C,git-up,GitUp,3
Objective-C,bang590,JSPatch,2
Objective-C,Mantle,Mantle,0
Objective-C,jessesquires,JSQMessagesViewController,0
Objective-C,darlinghq,darling,22
PHP,laravel,laravel,0
PHP,laravel,framework,30
PHP,blueimp,jQuery-File-Upload,4
PHP,symfony,symfony,253
PHP,composer,composer,5
PHP,fzaninotto,Faker,17
PHP,nextcloud,server,35
PHP,guzzle,guzzle,0
PHP,livewire,livewire,6
PHP,monicahq,monica,1
PHP,Seldaek,monolog,0
PHP,PHPMailer,PHPMailer,1
PHP,sebastianbergmann,phpunit,10
PHP,matomo-org,matomo,76
PHP,WordPress,WordPress,135
PHP,bcit-ci,CodeIgniter,2
PHP,nikic,PHP-Parser,3
PHP,briannesbitt,Carbon,10
PHP,coollabsio,coolify,8
PHP,barryvdh,laravel-debugbar,0
PHP,koel,koel,0
PHP,erusev,parsedown,1
PHP,firefly-iii,firefly-iii,13
PHP,getgrav,grav,6
PHP,yiisoft,yii2,13
PHP,barryvdh,laravel-ide-helper,1
PHP,cachethq,cachet,0
PHP,Intervention,image,0
PHP,thephpleague,flysystem,0
PHP,filp,whoops,0
Python,AUTOMATIC1111,stable-diffusion-webui,0
Python,ytdl-org,youtube-dl,7
Python,huggingface,transformers,38
Python,langchain-ai,langchain,9
Python,nvbn,thefuck,0
Python,pytorch,pytorch,151
Python,django,django,34
Python,yt-dlp,yt-dlp,11
Python,tiangolo,fastapi,3
Python,home-assistant,core,66
Python,pallets,flask,0
Python,fighting41love,funNLP,0
Python,openai,whisper,0
Python,ansible,ansible,2
Python,keras-team,keras,6
Python,python,cpython,89
Python,binary-husky,gpt_academic,2
Python,3b1b,manim,1
Python,scikit-learn,scikit-learn,15
Python,xtekky,gpt4free,2
Python,d2l-ai,d2l-zh,3
Python,localstack,localstack,32
Python,zylon-ai,private-gpt,0
Python,ageitgey,face_recognition,0
Python,sherlock-project,sherlock,0
Python,psf,requests,1
Python,abi,screenshot-to-code,0
Python,scrapy,scrapy,1
Python,CorentinJ,Real-Time-Voice-Cloning,0
Python,gpt-engineer-org,gpt-engineer,0
Ruby,rails,rails,94
Ruby,jekyll,jekyll,2
Ruby,mastodon,mastodon,4
Ruby,huginn,huginn,5
Ruby,discourse,discourse,135
Ruby,Homebrew,brew,26
Ruby,fastlane,fastlane,11
Ruby,rapid7,metasploit-framework,76
Ruby,maybe-finance,maybe,0
Ruby,hashicorp,vagrant,17
Ruby,heartcombo,devise,0
Ruby,gitlabhq,gitlabhq,228
Ruby,ruby,ruby,222
Ruby,Homebrew,homebrew-cask,3
Ruby,chatwoot,chatwoot,7
Ruby,CocoaPods,CocoaPods,17
Ruby,postalserver,postal,1
Ruby,mame,quine-relay,1
Ruby,diaspora,diaspora,2
Ruby,Homebrew,homebrew-core,1
Ruby,sidekiq,sidekiq,3
Ruby,spree,spree,12
Ruby,capistrano,capistrano,0
Ruby,fluent,fluentd,26
Ruby,rubocop,rubocop,41
Ruby,tmuxinator,tmuxinator,1
Ruby,sinatra,sinatra,5
Ruby,github-linguist,linguist,12
Ruby,faker-ruby,faker,0
Ruby,jordansissel,fpm,1
Rust,rust-lang,rust,165
Rust,denoland,deno,67
Rust,tauri-apps,tauri,4
Rust,rustdesk,rustdesk,17
Rust,FuelLabs,sway,19
Rust,FuelLabs,fuel-core,5
Rust,alacritty,alacritty,2
Rust,lencx,ChatGPT,0
Rust,sharkdp,bat,3
Rust,BurntSushi,ripgrep,3
Rust,FuelLabs,fuels-rs,3
Rust,meilisearch,meilisearch,14
Rust,starship,starship,2
Rust,zed-industries,zed,64
Rust,dani-garcia,vaultwarden,5
Rust,lapce,lapce,10
Rust,bevyengine,bevy,18
Rust,sharkdp,fd,1
Rust,helix-editor,helix,7
Rust,nushell,nushell,7
Rust,swc-project,swc,203
Rust,typst,typst,3
Rust,influxdata,influxdb,3
Rust,astral-sh,ruff,27
Rust,pola-rs,polars,15
Rust,surrealdb,surrealdb,14
Rust,vercel,turbo,3
Rust,tokio-rs,tokio,0
Rust,fish-shell,fish-shell,8
Rust,firecracker-microvm,firecracker,3
Swift,Alamofire,Alamofire,12
Swift,iina,iina,10
Swift,shadowsocks,ShadowsocksX-NG,2
Swift,ChartsOrg,Charts,2
Swift,MonitorControl,MonitorControl,0
Swift,airbnb,lottie-ios,1
Swift,rxhanson,Rectangle,1
Swift,utmapp,UTM,6
Swift,ReactiveX,RxSwift,11
Swift,vapor,vapor,3
Swift,onevcat,Kingfisher,4
Swift,SwiftyJSON,SwiftyJSON,1
Swift,exelban,stats,5
Swift,HeroTransitions,Hero,1
Swift,JohnCoates,Aerial,1
Swift,CodeEditApp,CodeEdit,0
Swift,ReactiveCocoa,ReactiveCocoa,1
Swift,SnapKit,SnapKit,0
Swift,realm,SwiftLint,1
Swift,hackiftekhar,IQKeyboardManager,1
Swift,OpenEmu,OpenEmu,4
Swift,Moya,Moya,1
Swift,Carthage,Carthage,2
Swift,ianyh,Amethyst,0
Swift,MengTo,Spring,0
Swift,PerfectlySoft,Perfect,0
Swift,Caldis,Mos,0
Swift,Juanpe,SkeletonView,0
Swift,mozilla-mobile,firefox-ios,31
Swift,CosmicMind,Material,1
TypeScript,vuejs,vue,11
TypeScript,microsoft,vscode,202
TypeScript,microsoft,TypeScript,423
TypeScript,angular,angular,111
TypeScript,mui,material-ui,24
TypeScript,ant-design,ant-design,7
TypeScript,puppeteer,puppeteer,11
